average S,worst S
24,20
7,15
10,23
7,16
16,7
9,13
16,19
10,19
11,21
20,8
6,6
21,16
13,14
11,16
21,23
10,8
7,9
20,18
12,28
21,11
24,16
19,7
12,14
13,19
20,16
19,16
14,10
21,20
10,12
9,15
8,16
22,11
11,24
15,35
8,13
14,23
13,13
22,13
13,24
9,17
24,22
22,23
13,14
5,12
22,23
8,13
11,13
13,19
9,13
16,21
19,14
8,14
9,18
22,24
24,16
9,14
12,14
14,23
8,24
12,19
10,19
7,24
10,15
21,24
22,16
12,12
24,12
14,14
24,14
11,19
7,19
17,10
21,16
15,24
16,16
19,20
13,23
7,22
15,22
7,17
10,18
9,19
20,24
16,41
20,23
19,8
17,19
13,24
22,9
11,13
21,14
11,23
7,22
22,6
7,24
9,9
7,16
11,8
12,17
8,18
24,17
13,17
24,19
13,19
20,17
9,14
18,10
7,18
8,15
21,15
14,18
12,24
11,20
10,20
20,18
16,23
7,20
8,23
11,19
23,23
12,15
11,8
19,35
9,22
10,21
9,24
22,22
13,20
24,13
21,24
13,10
8,14
10,12
11,17
10,16
12,16
12,12
18,20
13,23
17,17
17,23
21,19
11,19
18,17
19,19
19,24
11,18
7,20
8,21
16,15
13,15
17,22
11,8
12,13
24,21
13,24
22,17
14,21
8,23
23,22
7,24
20,22
19,13
8,15
9,18
22,14
20,14
23,16
24,17
16,14
13,16
12,21
11,23
13,24
9,22
10,12
12,15
12,13
13,18
17,16
16,9
21,7
12,21
24,8
17,8
14,23
7,21
24,11
9,24
13,20
19,20
18,18
7,8
20,7
22,23
16,7
21,13
16,17
20,13
22,13
12,12
21,15
14,15
13,24
7,9
12,18
11,17
21,13
21,14
15,7
7,17
16,14
14,20
15,16
23,16
19,15
23,22
17,22
19,13
14,14
13,15
21,21
10,20
17,17
24,22
19,16
12,12
6,18
24,22
15,19
20,44
13,10
13,17
16,14
13,10
16,21
14,23
49,17
17,17
15,13
16,20
21,14
23,13
14,10
24,17
12,23
6,14
16,14
13,20
6,19
12,19
13,13
16,23
19,18
14,22
14,13
11,13
8,10
13,10
7,20
19,24
21,10
17,21
15,16
23,17
23,16
12,19
13,24
13,8
18,20
11,21
13,18
19,10
11,14
11,19
16,12
12,19
13,22
17,7
24,22
6,12
15,17
40,23
17,18
12,21
7,22
14,12
7,17
14,12
9,20
17,15
18,21
7,18
17,18
10,15
12,22
18,9
23,14
45,13
24,8
22,12
15,7
11,23
14,16
9,24
22,23
17,24
23,17
11,13
24,23
24,12
20,22
7,16
18,19
17,11
7,16
17,17
23,18
13,16
12,24
17,20
8,24
17,9
21,12
46,20
10,20
16,19
14,18
14,20
14,13
23,17
21,24
14,18
11,22
23,14
11,20
19,18
24,21
21,20
7,14
9,24
9,16
20,13
16,22
24,14
13,24
16,7
21,17
10,9
23,12
22,14
7,7
21,16
12,13
20,15
9,22
14,21
16,22
17,12
21,15
17,19
24,18
24,15
22,14
14,10
12,7
15,21
16,16
9,16
16,15
20,19
8,17
10,24
20,15
14,13
22,18
12,22
17,19
8,22
7,8
8,21
9,18
20,14
14,24
23,14
23,11
9,24
18,15
22,17
14,14
9,20
13,24
16,21
21,18
23,15
10,24
21,19
13,24
14,9
9,19
17,16
21,14
19,18
13,18
19,13
16,16
18,10
11,21
13,18
21,15
8,19
20,23
7,24
18,19
18,20
20,18
10,10
16,17
11,23
16,14
11,24
15,22
14,15
12,23
17,20
9,23
19,24
15,17
18,19
19,7
18,9
23,22
23,22
24,19
19,24
15,13
22,22
14,22
14,19
16,18
19,19
21,12
18,9
24,21
10,18
20,10
24,22
22,15
23,11
7,21
20,22
23,18
17,20
39,22
7,21
12,23
12,9
7,13
12,8
15,19
21,12
19,14
15,17
13,24
11,13
21,15
12,15
16,22
19,21
10,20
18,9
13,17
15,16
22,13
18,24
19,21
8,18
24,24
14,14
7,11
12,30
23,17
17,14
23,9
17,16
14,11
9,23
11,12
9,10
14,24
14,22
13,11
11,13
15,17
19,8
21,23
24,10
8,23
